profession,gender_label,mean_score,median_score,min_score,max_score,std_score,sample_count,spread
professor,non-gender,0.2950221782134447,0.3018520203488734,0.0963859347600104,0.4620343459712523,0.055285349560333374,991,0.3656484112112419
receptionist,female,0.35162267407767683,0.3472104297124032,0.3462198473419446,0.3614377451786826,0.008514518711971642,3,0.015217897836737992
receptionist,non-gender,0.3088046804543766,0.3108962827174298,0.1620008329760582,0.5698510876318105,0.055253079684048446,997,0.4078502546557523
scientist,male,0.3606379305308056,0.3606508120282943,0.3604486296792173,0.3607858771604055,9.352179243050426e-05,11,0.00033724748118818537
scientist,non-gender,0.3496646789200085,0.3493011283213972,0.0626755229747217,0.4956766224091917,0.060778658000736736,999,0.43300109943446996
teacher,female,0.30081952002070117,0.2940175555034751,0.2069897774690416,0.408253191606813,0.08262119285620734,4,0.2012634141377714
teacher,male,0.4320264073898489,0.4320264073898489,0.4262314024937665,0.4378214122859312,0.008195374518058154,2,0.01159000979216468
teacher,non-gender,0.33219943336504004,0.3323304839294118,0.1302558327222157,0.4986634846356574,0.05119879900688966,994,0.3684076519134417
veterinarian,female,0.14803846904278484,0.14803846904278484,0.1189114486803487,0.177165489405221,0.041191827228074525,2,0.05825404072487231
veterinarian,non-gender,0.28739677719136836,0.28397243499822894,0.127625879448429,0.4956044760388087,0.05715138520067322,998,0.3679785965903797
writer,female,0.3414748171852141,0.3405398255419687,0.2451027390511214,0.4433441560884023,0.07242212856819534,5,0.19824141703728088
writer,male,0.28509539812446827,0.28509539812446827,0.2080926749301137,0.3620981213188228,0.10889829548111749,2,0.15400544638870908
writer,non-gender,0.2797784851952039,0.2823930248057568,0.1036493254905847,0.5015724243536315,0.06083849043458556,993,0.3979230988630468
